DATA_TAB_GENERALINFO	SCL_UNITID	SCL_NAME	SPORT_CODE	SPORT_NAME	ACADEMIC_YEAR	SCL_DIV_14	SCL_SUB_14	CONFNAME_14	D1_FB_CONF_14	SCL_HBCU	SCL_PRIVATE	DATA_TAB_MULTIYRRATE	MULTIYR_APR_RATE_1000_RAW	MULTIYR_APR_RATE_1000_CI	MULTIYR_APR_RATE_1000_OFFICIAL	MULTIYR_ELIG_RATE	MULTIYR_RET_RATE	MULTIYR_SQUAD_SIZE	DATA_TAB_ANNUALRATE	APR_RATE_2014_1000	ELIG_RATE_2014	RET_RATE_2014	NUM_OF_ATHLETES_2014	APR_RATE_2013_1000	ELIG_RATE_2013	RET_RATE_2013	NUM_OF_ATHLETES_2013	APR_RATE_2012_1000	ELIG_RATE_2012	RET_RATE_2012	NUM_OF_ATHLETES_2012	APR_RATE_2011_1000	ELIG_RATE_2011	RET_RATE_2011	NUM_OF_ATHLETES_2011	APR_RATE_2010_1000	ELIG_RATE_2010	RET_RATE_2010	NUM_OF_ATHLETES_2010	APR_RATE_2009_1000	ELIG_RATE_2009	RET_RATE_2009	NUM_OF_ATHLETES_2009	APR_RATE_2008_1000	ELIG_RATE_2008	RET_RATE_2008	NUM_OF_ATHLETES_2008	APR_RATE_2007_1000	ELIG_RATE_2007	RET_RATE_2007	NUM_OF_ATHLETES_2007	APR_RATE_2006_1000	ELIG_RATE_2006	RET_RATE_2006	NUM_OF_ATHLETES_2006	APR_RATE_2005_1000	ELIG_RATE_2005	RET_RATE_2005	NUM_OF_ATHLETES_2005	APR_RATE_2004_1000	ELIG_RATE_2004	RET_RATE_2004	NUM_OF_ATHLETES_2004	DATA_TAB_PUBLICAWARD	PUB_AWARD_15	PUB_AWARD_14	PUB_AWARD_13	PUB_AWARD_12	PUB_AWARD_11	PUB_AWARD_10	PUB_AWARD_09	PUB_AWARD_08	PUB_AWARD_07	PUB_AWARD_06	RAW_OR_CI
 	100654	Alabama A&M University	6	Men's Golf	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	833	898	898	.7948717949	.8461538462	22	 	1000	.875	1	4	889	.8888888889	.8888888889	5	750	.7	.8	6	750	.75	.75	7	-99	-99	-99	-99	857	.8571428571	.8571428571	4	1000	.9	1	5	1000	1	1	4	889	.8888888889	.8888888889	5	929	.8571428571	1	7	-99	-99	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	1
 	100654	Alabama A&M University	13	Men's Tennis	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	956	988	988	.9130434783	1	12	 	-99	-99	-99	-99	-99	-99	-99	-99	923	.8571428571	1	4	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	889	.8888888889	.8888888889	5	1000	1	1	4	958	1	.9166666667	6	-99	0	0	0	1	1	0	0	0	0	0	1
 	100654	Alabama A&M University	21	Women's Cross Country	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	985	996	985	.9538461538	1	33	 	1000	1	1	7	972	.9444444444	1	9	1000	.9285714286	1	7	975	.95	1	10	938	.8125	1	8	1000	1	1	6	875	.75	1	6	958	.9166666667	1	6	1000	1	1	7	1000	1	1	17	929	.8571428571	1	14	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	29	Women's Softball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	921	949	921	.9043478261	.9210526316	61	 	800	.8	.7666666667	16	968	.90625	1	16	969	.96875	.96875	17	952	.9523809524	.9523809524	12	969	.9375	1	8	906	.8888888889	.9230769231	14	940	.88	1	13	1000	1	1	11	962	.9230769231	1	13	875	.875	.875	12	913	.9130434783	.9130434783	12	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	36	Women's Volleyball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	952	976	952	.9166666667	.9759036145	43	 	979	1	.9583333333	13	1000	.9444444444	1	9	897	.8	1	10	932	.9090909091	.9545454545	11	1000	.9615384615	1	13	1000	1	1	10	917	.9166666667	.9166666667	12	891	.8695652174	.9130434783	12	964	.9642857143	.9642857143	14	975	.95	1	10	977	1	.9545454545	11	-99	0	0	0	0	0	0	0	0	0	0	2
 	100654	Alabama A&M University	15	Men's Track, Outdoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	939	964	939	.8879310345	.9913043478	59	 	909	.8484848485	.9696969697	17	932	.8666666667	1	15	980	.96	1	13	946	.8928571429	1	14	922	.8076923077	.96	13	1000	.9642857143	1	14	1000	1	1	9	875	.75	1	10	914	.8857142857	.9428571429	18	929	.8571428571	1	11	938	.9166666667	.9583333333	12	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	33	Women's Tennis	2014	1	1	Conference USA	Conference USA	2	0	 	1000	1000	1000	1	1	39	 	1000	1	1	11	1000	1	1	9	1000	1	1	10	1000	1	1	9	1000	1	1	9	1000	1	1	10	1000	1	1	9	1000	1	1	7	1000	1	1	7	944	.9444444444	.9444444444	9	967	1	.9333333333	8	-99	1	1	1	1	1	1	0	0	0	0	2
 	100663	University of Alabama at Birmingham	36	Women's Volleyball	2014	1	1	Conference USA	Conference USA	2	0	 	985	995	985	.9805825243	.98	55	 	1000	1	1	12	1000	1	.9583333333	15	981	.9615384615	1	13	964	.9642857143	.9642857143	15	1000	1	1	16	963	.962962963	.962962963	15	1000	1	1	14	962	1	.9230769231	13	1000	1	1	11	870	.9130434783	.8260869565	13	926	.8888888889	.962962963	14	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	29	Women's Softball	2014	1	1	Conference USA	Conference USA	2	0	 	992	997	992	.988700565	.988700565	91	 	1000	1	1	20	987	1	.9736842105	20	1000	.98	1	26	980	.98	.98	25	1000	1	.9756097561	21	986	.972972973	.972972973	19	938	.9375	.9375	17	887	.9032258065	.8709677419	16	936	.9487179487	.9230769231	20	955	.9318181818	.9772727273	22	974	.9487179487	1	20	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	31	Women's Soccer	2014	1	1	Conference USA	Conference USA	2	0	 	986	994	986	.9945652174	.9719101124	97	 	990	1	.9607843137	26	989	1	.9777777778	23	975	.9761904762	.9743589744	23	989	1	.976744186	25	957	.9714285714	.9428571429	18	951	.9756097561	.9268292683	21	1000	1	1	18	987	1	.9736842105	20	986	1	.9714285714	20	949	.95	.9487179487	21	988	1	.976744186	22	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	2	Men's Basketball	2014	1	1	Conference USA	Conference USA	2	0	 	979	992	979	1	.9462365591	49	 	980	1	.96	13	955	1	.9090909091	12	980	1	.96	13	1000	1	.9523809524	11	1000	1	1	11	732	.7142857143	.75	12	961	.9259259259	.9583333333	14	759	.724137931	.7931034483	17	840	.8	.88	13	904	.8846153846	.8846153846	13	942	.9230769231	.9615384615	13	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	1	Baseball	2014	1	1	Conference USA	Conference USA	2	0	 	975	987	975	.9705882353	.9701492537	104	 	962	.9615384615	.9615384615	26	971	.9811320755	.9615384615	28	971	.9622641509	.9803921569	27	1000	.9782608696	.9782608696	23	980	1	.9574468085	27	984	.9682539683	.9838709677	33	985	.9850746269	.9701492537	37	930	.921875	.9375	33	937	.9577464789	.8873239437	38	939	.9242424242	.9393939394	35	910	.9016393443	.9016393443	33	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	6	Men's Golf	2014	1	1	Conference USA	Conference USA	2	0	 	970	987	970	.9756097561	.9634146341	43	 	1000	1	1	9	1000	1	1	9	909	.9090909091	.9090909091	12	979	1	.9583333333	13	957	1	.9130434783	12	1000	1	1	10	1000	1	1	11	947	.9473684211	.9473684211	10	927	.9523809524	.85	11	842	.8421052632	.8421052632	10	861	.8333333333	.8888888889	10	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	34	Women's Track, Indoor	2014	1	1	Conference USA	Conference USA	2	0	 	987	994	987	.9822222222	.9821428571	118	 	991	.9827586207	1	30	1000	1	.9814814815	28	991	.9814814815	1	29	957	.9661016949	.9482758621	31	958	.9322033898	.9830508475	30	954	.9444444444	.962962963	28	930	.8947368421	.9649122807	32	944	.9523809524	.9365079365	32	981	1	.962962963	28	941	.9491525424	.9322033898	31	971	.9411764706	.9803921569	26	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	35	Women's Track, Outdoor	2014	1	1	Conference USA	Conference USA	2	0	 	989	995	989	.9866071429	.9820627803	117	 	1000	1	1	29	1000	1	.9814814815	28	991	.9814814815	1	29	957	.9661016949	.9482758621	31	958	.9322033898	.9830508475	30	954	.9444444444	.962962963	28	929	.8928571429	.9642857143	31	944	.9523809524	.9365079365	32	981	1	.962962963	28	941	.9491525424	.9322033898	31	959	.9387755102	.9795918367	25	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	13	Men's Tennis	2014	1	1	Conference USA	Conference USA	2	0	 	1000	1000	1000	.9866666667	.9864864865	42	 	1000	1	1	12	971	.9411764706	1	10	1000	1	1	9	1000	1	.9411764706	11	972	1	.9444444444	10	952	1	.9047619048	11	968	.9375	1	9	947	1	.8947368421	11	938	.9375	.9375	9	867	.8666666667	.8666666667	9	692	.6923076923	.6923076923	8	-99	1	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	21	Women's Cross Country	2014	1	1	Conference USA	Conference USA	2	0	 	980	991	980	.9758064516	.9756097561	66	 	981	.9615384615	1	14	1000	1	1	10	1000	1	1	11	957	.9661016949	.9482758621	31	958	.9322033898	.9830508475	30	954	.9444444444	.962962963	28	900	.8333333333	.9666666667	16	914	.9428571429	.8857142857	18	1000	1	1	9	925	.95	.9	11	950	.95	.95	10	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	19	Women's Basketball	2014	1	1	Conference USA	Conference USA	2	0	 	987	996	987	.9916666667	.9745762712	61	 	950	.9666666667	.9333333333	15	1000	1	1	16	983	1	.9655172414	15	1000	1	1	15	969	.96875	.96875	16	943	.9259259259	.9230769231	14	950	.9666666667	.9333333333	16	982	.9642857143	1	14	911	.9642857143	.8571428571	15	829	.8	.8571428571	18	875	.8214285714	.9285714286	15	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	11	Men's Soccer	2014	1	1	Conference USA	Conference USA	2	0	 	980	991	980	.96875	.9669421488	73	 	952	.935483871	.9677419355	18	1000	1	1	15	985	.9714285714	.9696969697	20	984	.9705882353	.9333333333	20	976	.9761904762	.9761904762	23	888	.85	.925	21	988	.9523809524	.9756097561	25	920	.8888888889	.9534883721	26	915	.8888888889	.9142857143	22	897	.8461538462	.9230769231	22	821	.8571428571	.7857142857	18	-99	0	0	0	0	0	0	0	0	0	0	2
 	100663	University of Alabama at Birmingham	25	Women's Golf	2014	1	1	Conference USA	Conference USA	2	0	 	985	996	985	.9850746269	.9848484848	34	 	1000	1	1	7	1000	1	1	9	1000	1	1	8	946	.9473684211	.9444444444	10	1000	1	1	10	1000	1	1	8	1000	1	1	7	971	1	.9411764706	9	923	.9230769231	.9230769231	7	944	.8888888889	1	5	1000	1	1	7	-99	0	0	0	0	0	0	0	0	0	0	2
 	100706	University of Alabama in Huntsville	8	Men's Ice Hockey	2014	2	-99	Gulf South Conference	 	2	0	 	948	966	948	.9585798817	.9375	99	 	959	.962962963	.9545454545	27	957	.9787234043	.9347826087	24	978	.9782608696	.976744186	23	908	.9183673469	.8979591837	25	943	.9565217391	.9285714286	23	957	.9574468085	.9555555556	24	980	.98	.96	25	947	.9574468085	.9361702128	24	940	.92	.96	25	940	.9523809524	.9285714286	21	958	.9375	.9791666667	24	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	14	Men's Track, Indoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	933	958	933	.890625	.9761904762	65	 	916	.880952381	.9512195122	22	940	.8823529412	1	17	929	.8928571429	.9642857143	14	958	.9166666667	1	12	917	.8333333333	1	12	903	.8709677419	.935483871	16	889	.7777777778	1	14	917	.8888888889	.9444444444	18	931	.8611111111	1	19	903	.9444444444	.8611111111	20	950	.925	.975	20	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	29	Women's Softball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	922	948	922	.8897058824	.954887218	71	 	952	.96875	.9333333333	17	912	.8823529412	.9411764706	18	897	.8235294118	.9705882353	17	930	.8888888889	.9714285714	19	929	.8857142857	.9714285714	18	833	.8181818182	.8484848485	17	783	.7333333333	.8333333333	16	881	.8571428571	.9047619048	11	1000	1	1	6	941	1	.8823529412	9	857	.8095238095	.9047619048	11	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	21	Women's Cross Country	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	990	998	998	1	.9803921569	26	 	1000	1	1	7	1000	1	1	7	958	1	.9166666667	6	1000	1	1	6	1000	1	1	7	1000	1	1	7	917	1	.8333333333	6	973	.972972973	.972972973	19	972	.9722222222	.9722222222	18	923	.9230769231	.9230769231	13	950	.9	1	5	-99	0	0	0	0	0	0	0	0	0	0	1
 	100724	Alabama State University	33	Women's Tennis	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	956	982	982	.9782608696	.9318181818	25	 	1000	1	1	9	917	.9166666667	.9166666667	6	1000	1	1	4	917	1	.8333333333	6	958	.9166666667	1	6	1000	1	1	4	958	.9166666667	1	6	958	1	.9166666667	7	967	.9333333333	1	8	964	1	.9285714286	7	1000	1	1	7	-99	0	0	0	0	0	0	0	0	0	0	1
 	100724	Alabama State University	4	Football	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	876	894	876	.8527131783	.8929961089	287	 	902	.8796992481	.9248120301	72	857	.8467153285	.8666666667	79	905	.867768595	.9338842975	65	840	.816	.848	71	879	.859375	.8984375	70	870	.8244274809	.9160305344	71	850	.7857142857	.9142857143	75	939	.9043478261	.9739130435	63	866	.8225806452	.9098360656	70	958	.9495798319	.9663865546	64	858	.842519685	.874015748	67	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	25	Women's Golf	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	963	987	987	.9761904762	.9487179487	23	 	1000	1	1	6	1000	1	1	5	1000	1	1	4	893	.9333333333	.8461538462	8	964	.9285714286	1	7	750	.7	.8	6	944	1	.8888888889	6	1000	1	1	4	955	.9090909091	1	6	600	.6	.6	5	950	1	.9	5	-99	0	0	0	0	0	0	0	0	0	0	1
 	100724	Alabama State University	20	Women's Bowling	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	979	994	994	1	.9361702128	25	 	1000	1	1	8	917	1	.8333333333	7	1000	1	1	6	1000	1	.875	4	714	.5714285714	.7142857143	4	833	.6666666667	1	6	1000	1	1	6	917	.9166666667	.9166666667	7	923	.9230769231	.9230769231	7	944	.8888888889	1	5	875	.8333333333	.9166666667	6	-99	0	0	0	0	0	0	0	0	0	0	1
 	100724	Alabama State University	36	Women's Volleyball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	950	973	950	.9450549451	.9550561798	48	 	1000	1	1	10	1000	1	1	11	879	.8620689655	.8965517241	16	952	.9523809524	.9523809524	11	833	.75	.9166666667	12	979	.9583333333	1	12	833	.8095238095	.8571428571	11	868	.8421052632	.8947368421	10	813	.7916666667	.8333333333	13	969	.9375	1	8	771	.7083333333	.8333333333	12	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	1	Baseball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	950	968	950	.9170984456	.9682539683	98	 	925	.8703703704	.9615384615	28	970	.96	.98	25	978	.9565217391	.9777777778	23	929	.8837209302	.9523809524	22	895	.8947368421	.8947368421	21	737	.64	.8367346939	27	853	.7843137255	.9215686275	27	854	.7804878049	.9268292683	21	804	.7391304348	.8695652174	26	929	.9285714286	.9285714286	22	921	.9210526316	.9210526316	19	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	2	Men's Basketball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	868	908	868	.8269230769	.8811881188	54	 	944	.8888888889	.962962963	14	880	.8461538462	.875	13	900	.8	.96	13	745	.7692307692	.72	14	886	.9090909091	.8636363636	11	800	.7692307692	.8333333333	13	875	.84	.9130434783	13	889	.9259259259	.8518518519	14	957	.9130434783	1	12	978	1	.9565217391	12	909	.8636363636	.9545454545	11	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	3	Men's Cross Country	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	929	965	965	.88	.9791666667	25	 	897	.85	.9473684211	10	957	.9166666667	1	6	950	.9	1	5	938	.875	1	4	917	.8333333333	1	6	964	.9285714286	1	7	917	.8333333333	1	6	1000	1	1	5	1000	1	1	5	892	.9459459459	.8378378378	21	1000	1	1	5	-99	0	0	0	0	0	0	0	0	0	0	1
 	100724	Alabama State University	19	Women's Basketball	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	967	983	967	.9596774194	.9672131148	64	 	1000	.9696969697	1	17	952	.96875	.935483871	16	983	.9666666667	1	15	931	.9310344828	.9310344828	16	933	.9666666667	.9	15	919	.935483871	.9032258065	16	917	.9666666667	.8666666667	15	980	.9615384615	1	14	933	.9666666667	.9	16	926	.9259259259	.9259259259	14	983	1	.9666666667	15	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	13	Men's Tennis	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	896	938	896	.8965517241	.8947368421	32	 	867	.8666666667	.8666666667	9	968	1	.9333333333	8	944	.8888888889	1	6	833	.8333333333	.8333333333	9	1000	1	1	7	1000	1	1	4	955	.9090909091	1	6	906	.8125	1	9	875	.875	.875	5	875	.875	.875	4	1000	1	1	4	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	35	Women's Track, Outdoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	961	977	961	.955801105	.9664804469	92	 	950	.9215686275	.98	26	968	.9574468085	.9782608696	24	930	.9534883721	.9069767442	22	1000	1	1	20	1000	1	1	21	947	.9210526316	.9736842105	19	950	.94	.96	25	973	.972972973	.972972973	19	975	.975	.975	21	-99	-99	-99	-99	922	.90625	.9375	16	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	6	Men's Golf	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	975	993	993	1	.9487179487	21	 	1000	1	1	6	1000	1	1	6	938	1	.875	4	947	1	.8888888889	5	917	1	.8333333333	6	1000	1	1	5	850	.9	.8	6	1000	1	1	5	643	.5714285714	.7142857143	8	875	.875	.875	5	750	.75	.75	4	-99	0	0	0	0	0	0	0	0	0	0	1
 	100724	Alabama State University	15	Men's Track, Outdoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	935	960	935	.8965517241	.9736842105	59	 	924	.9	.9487179487	21	940	.8823529412	1	17	929	.8928571429	.9642857143	14	964	.9285714286	1	7	909	.8181818182	1	11	917	.8666666667	.9666666667	15	904	.8076923077	1	13	917	.8888888889	.9444444444	18	921	.8421052632	1	20	908	.9473684211	.8684210526	21	958	.9444444444	.9722222222	18	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	31	Women's Soccer	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	969	984	969	.9793103448	.9583333333	74	 	1000	1	1	21	962	1	.9230769231	20	955	.9696969697	.9393939394	17	953	.9375	.96875	16	962	.9230769231	1	14	938	.9583333333	.9166666667	12	875	.8125	.9375	9	868	.9473684211	.7894736842	10	813	.75	.875	8	-99	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0	0	0	0	0	0	0	0	2
 	100724	Alabama State University	34	Women's Track, Indoor	2014	1	2	Southwestern Athletic Conf.	Southwestern Athletic Conf.	1	0	 	962	977	962	.956284153	.9668508287	93	 	950	.9215686275	.98	26	969	.9591836735	.9791666667	25	930	.9534883721	.9069767442	22	1000	1	1	20	1000	1	1	21	950	.925	.975	20	948	.9375	.9583333333	24	973	.972972973	.972972973	19	974	.9736842105	.9736842105	19	922	.9375	.90625	16	863	.825	.9	20	-99	0	0	0	0	0	0	0	0	0	0	2
